publisher;review_date;claim_text;review_url;normalized_label
politifact;2023-01-19;"Greta Thunberg staged an arrest in Germany.""";https://www.politifact.com/factchecks/2023/jan/19/viral-image/climate-activist-greta-thunberg-didnt-stage-her-re/;FALSE
checkyourfact;2023-01-23;"A video shared on Facebook purports 20-year-old Swedish climate activist Greta Thunberg’s arrest in Germany was staged for publicity.""";https://checkyourfact.com/2023/01/23/fact-check-greta-thunberg-arrested-germany/;FALSE
snopes;2023-01-07;"The word spaz originates from spastic diplegia, a form of cerebral palsy that results in muscle stiffness mainly in the legs.""";https://www.snopes.com/fact-check/spaz-insult-spastic-diplegia/;TRUE
snopes;2023-01-09;"In response to a question about her past as a follower of QAnon conspiracy theories, U.S. Rep. Marjorie Taylor Greene said, Well, like a lot of people today, I had easily gotten sucked into some things I had seen on the internet.""";https://www.snopes.com/fact-check/marjorie-taylor-greene-qanon-internet-quote/;TRUE
snopes;2023-01-16;"Actress Goldie Hawn has died.""";https://www.snopes.com/fact-check/no-actor-goldie-hawn-is-not-dead/;FALSE
factcheck_afp;2023-01-19;"Photo showing Haldwani\'s alleged encroachment area""";https://factcheck.afp.com/doc.afp.com.33792AH;FALSE
factcheck_afp;2023-01-21;"This video shows genuine Covid-19 advice from Chinese official""";https://factcheck.afp.com/doc.afp.com.337D668;FALSE
checkyourfact;2023-01-23;"A post shared on Facebook purports Microsoft co-founder, Bill Gates, withdrew from the World Economic Forum (WEF) Meeting in Davos, Switzerland.""";https://checkyourfact.com/2023/01/23/fact-check-bill-gates-withdraw-world-economic-forum/;FALSE
checkyourfact;2023-01-23;"An image shared on Facebook purports Massachusetts Democrat Rep. Ayanna Pressley tweeted IQ was a measure of whiteness.""";https://checkyourfact.com/2023/01/23/fact-check-ayanna-pressley-iq-measure-of-whiteness/;FALSE
truthorfiction;2023-01-26;"Paprika is just dried and crushed red bell peppers.""";https://www.truthorfiction.com/is-paprika-just-dried-bell-pepper/;TRUE
checkyourfact;2023-01-20;"A post shared on Facebook purports FDA chief called to end to COVID-19 vaccinations because millions are dropping dead.""";https://checkyourfact.com/2023/01/20/fact-check-fda-chief-covid-19-vaccine/;FALSE
snopes;2023-01-06;"Mark Twain said, If you don’t read the newspaper you are uninformed, if you do read the newspaper you are misinformed.""";https://www.snopes.com/fact-check/mark-twain-read-newspaper-misinformed/;FALSE
factcheck_afp;2023-01-11;"Image of Nigerian doctor given free UK scholarship by Obi""";https://factcheck.afp.com/doc.afp.com.336V6EV;FALSE
factcheck_afp;2023-01-09;"Florida doctor tweeted about Covid-19 vaccines, poison""";https://factcheck.afp.com/doc.afp.com.336L9TF;FALSE
politifact;2023-01-10;"Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""";https://www.politifact.com/factchecks/2023/jan/10/melissa-agard/how-small-turnout-wisconsin-spring-elections/;TRUE
politifact;2023-01-31;"The government caused a fire at Hillandale Farms in Connecticut so that they can force us into eating their fake GMO meats, or starve us into compliance.""";https://www.politifact.com/factchecks/2023/jan/31/viral-image/cause-hillandale-farm-fire-unclear-claims-governme/;FALSE
politifact;2023-01-24;"Fifty-one percent of our taxes are paid by 2% of New Yorkers.""";https://www.politifact.com/factchecks/2023/jan/24/eric-adams/claim-about-wealthy-residents-and-taxes-new-york-c/;MIXTURE
africacheck;2023-01-27;"No, Nigeria’s central bank hasn’t ordered politicians to give old banknotes to ‘poor masses’""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-nigerias-central-bank-hasnt-ordered-politicians-give-old;FALSE
politifact;2023-01-31;"U.S. Rep. Alexandria Ocasio-Cortez tweeted that Instagram needs to TERMINATE...a right-wing media page posting CONSERVATIVE content.""";https://www.politifact.com/factchecks/2023/jan/31/viral-image/this-isnt-a-real-tweet-from-alexandria-ocasio-cort/;FALSE
snopes;2023-01-20;"A photograph circulating online in January 2023 depicted a real airship nicknamed the flying bum.""";https://www.snopes.com/fact-check/photo-of-flying-bum-hybrid-aircraft/;TRUE
politifact;2023-01-31;"Video shows a man burning the Quran in Sweden.""";https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/video-quran-burning-man-was-denmark-2021-not-swede/;FALSE
politifact;2023-01-31;"Global warming is a fraud.""";https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/plentiful-evidence-proves-climate-change-is-not-a/;FALSE
checkyourfact;2023-01-06;"A video shared on Facebook purports Ohio Republican Rep. Jim Jordan allegedly sent President Joe Biden to jail over shocking laptop photos.""";https://checkyourfact.com/2023/01/06/fact-check-jordan-biden-jail-photos/;FALSE
africacheck;2023-01-18;"We are getting power from our hydros at four US cents per KWh.""";https://africacheck.org/fact-checks/reports/fact-checking-kenyan-president-rutos-first-roundtable-journalists;FALSE
snopes;2023-01-10;"Dr. Dre\'s attorney sent U.S. Rep. Marjorie Taylor Greene a cease-and-desist letter over the use of one of his recordings in a tweeted video.""";https://www.snopes.com/fact-check/dr-dre-mtg-cease-and-desist-letter/;TRUE
politifact;2023-01-27;"Hospital photo of Damar Hamlin proves he’s a corpse.""";https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/damar-hamlin-alive-despite-baseless-claims-contrar/;FALSE
politifact;2023-01-12;"Coronavirus is a Latin word for heart attack virus.""";https://www.politifact.com/factchecks/2023/jan/12/viral-image/coronavirus-is-not-a-latin-word-that-means-heart-a/;FALSE
snopes;2023-01-15;"Viral posts show the most detailed image of a human cell to date, obtained via radiography, nuclear MRI, and cryoelectronic microscopy.""";https://www.snopes.com/fact-check/detailed-image-of-human-cell/;FALSE
fullfact;2023-01-26;"A huge asteroid is set to hit the Earth this week.""";https://fullfact.org/news/asteroid-nasa-collide-earth-joe/;FALSE
politifact;2023-01-20;"Bill Gates tweeted that vaccines in our food supply solves the problem of vaccine hesitancy.""";https://www.politifact.com/factchecks/2023/jan/20/instagram-posts/bill-gates-didnt-tweet-about-adding-vaccines-to-fo/;FALSE
factcheck_afp;2023-01-05;"1,101 athletes died due to heart conditions between 2021-2023 and 1966-2004""";https://factcheck.afp.com/doc.afp.com.336H7Y9;MIXTURE
africacheck;2023-01-18;"No evidence former army chief Danjuma has endorsed Obi for Nigeria’s presidency""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-evidence-former-army-chief-danjuma-has-endorsed-obi;FALSE
factcheck_afp;2023-01-23;"Photos show aftermath of Yeti airlines crash in Nepal in 2023""";https://factcheck.afp.com/doc.afp.com.337K9PM;FALSE
africacheck;2023-01-17;"Yes, you can drink too much water and it can be lethal""";https://africacheck.org/fact-checks/meta-programme-fact-checks/yes-you-can-drink-too-much-water-and-it-can-be-lethal;TRUE
checkyourfact;2023-01-30;"A video shared on Facebook allegedly shows a large group of crows flying above Kiev, Ukraine in a sign of the end of times.""";https://checkyourfact.com/2023/01/30/fact-check-birds-sky-ukraine/;FALSE
truthorfiction;2023-01-30;"Video depicts one of the largest egg production plants burn[ing] down during a national egg shortage.""";https://www.truthorfiction.com/2023-connecticut-egg-production-plant-fire-rumors/;MIXTURE
africacheck;2023-01-20;"No evidence young Nigerian became first black woman to perform a 30-minute human heart transplant, with her studies funded by Peter Obi""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-evidence-young-nigerian-became-first-black-woman-perform;FALSE
factcheck_afp;2023-01-20;"CNN reported Damar Hamlin\'s cardiac arrest was due to Covid-19 vaccination""";https://factcheck.afp.com/doc.afp.com.336G2KQ;FALSE
politifact;2023-01-18;"More contraception availability increases abortion demand.""";https://www.politifact.com/factchecks/2023/jan/18/instagram-posts/more-access-to-contraception-increases-abortion-de/;FALSE
factcheck_afp;2023-01-16;"Video shows bodybuilder reacting to caste discrimination""";https://factcheck.afp.com/doc.afp.com.336W8DW;FALSE
factcheck_afp;2023-01-24;"Australian government issues up to $30,000 grant for Australians""";https://factcheck.afp.com/doc.afp.com.337P3Y7;FALSE
snopes;2023-01-10;"A video shows Bryan Kohberger attending a vigil for Idaho murder victims.""";https://www.snopes.com/fact-check/bryan-kohberger-vigil-video/;FALSE
fullfact;2023-01-20;"The World Economic Forum required that pilots flying visitors to its annual meeting in Davos had to be unvaccinated.""";https://fullfact.org/online/wef-not-demanding-unvaccinated-pilots/;FALSE
politifact;2023-01-27;"The average American has anywhere from 5 to 15 pounds of stool stuck in their gut.""";https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/feeling-weighed-down-its-not-because-there-are-5-1/;FALSE
factcheck_afp;2023-01-30;"Eggs are causing thousands of people to form blood clots""";https://factcheck.afp.com/doc.afp.com.337Z4KQ;FALSE
politifact;2023-01-27;"Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.""";https://www.politifact.com/factchecks/2023/jan/27/viral-image/dont-egg-them-on-scientists-found-no-link-between/;FALSE
checkyourfact;2023-01-20;"A post shared on Facebook purports Microsoft founder Bill Gates turned off his Twitter comments after the platform’s CEO Elon Musk allegedly exposed him in the latest round of the Twitter Files.""";https://checkyourfact.com/2023/01/20/fact-check-gates-musk-twitter-files/;FALSE
africacheck;2023-01-31;"No, South Africa’s Sunday Times didn’t publish homophobic article by prominent journalist McKaiser""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-south-africas-sunday-times-didnt-publish-homophobic;FALSE
factcheck_afp;2023-01-24;"Executive Order 14009 offers free health insurance to US citizens""";https://factcheck.afp.com/doc.afp.com.337N7HN;FALSE
snopes;2023-01-30;"In December 1952, London bus driver Albert Gunter made a split-second decision to accelerate his double-decker bus and jump across a gap created by the Tower Bridge unexpectedly opening for a ship to pass under.""";https://www.snopes.com/fact-check/bus-jump-tower-bridge/;TRUE
africacheck;2023-01-10;"No, head of Uganda’s prestigious Makerere University did not write letter authorising meddling in staff and alumni election""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-head-ugandas-prestigious-makerere-university-did-not;FALSE
factcheck_afp;2023-01-10;"Indian Prime Minister Narendra Modi said he is a son of a Pathan""";https://factcheck.afp.com/doc.afp.com.336G9BL;FALSE
checkyourfact;2023-01-11;"An image shared on Twitter purports a rioter participating in the violence on the Brazilian government buildings was outfitted similarly to the QAnon Shaman from the January 2021 insurrection in Washington D.C.""";https://checkyourfact.com/2023/01/11/fact-check-photo-protester-brazilian-riots-qanon-shaman/;FALSE
factcheck_afp;2023-01-05;"Donald Trump endorsed Byron Donalds for House speaker in a statement""";https://factcheck.afp.com/doc.afp.com.336J9ML;FALSE
checkyourfact;2023-01-03;"A video shared on Facebook allegedly shows Twitter CEO Elon Musk claiming former President Donald Trump won the 2020 election.""";https://checkyourfact.com/2023/01/03/fact-check-elon-musk-trump-2020-election/;FALSE
checkyourfact;2023-01-05;"A video shared on Facebook claims to show a Russian nuclear submarine surfacing on a beach in Hawaii.""";https://checkyourfact.com/2023/01/05/fact-check-russian-nuclear-submarine-hawaii/;FALSE
snopes;2023-01-23;"Actor Will Smith announced the death of his son, Jaden, in January 2023.""";https://www.snopes.com/fact-check/jaden-smith-is-not-dead/;FALSE
fullfact;2023-01-17;"The vaccines were not trialled or tested.""";https://fullfact.org/online/chris-preddie-vaccines-strep-A/;FALSE
truthorfiction;2023-01-19;"In January 2023, Georgia Republican Kelly Loeffler bragged that voter suppression helped her party in 2022.""";https://www.truthorfiction.com/a-georgia-republican-brags-that-voter-suppression-helped-them-in-2022/;MIXTURE
factcheck_afp;2023-01-31;"US law requires cars to have a remote kill switch""";https://factcheck.afp.com/doc.afp.com.33878DC;FALSE
checkyourfact;2023-01-02;"A video shared on Facebook purports Georgia Republican Rep. Marjorie Taylor Greene humiliated New York Democratic Rep. Alexandria Ocasio-Cortez to her face in Congress.""";https://checkyourfact.com/2023/01/02/fact-check-marjorie-taylor-greene-humiliate-aoc-congress/;FALSE
snopes;2023-01-13;"Federal law does not give U.S. vice presidents authority to declassify government documents.""";https://www.snopes.com/fact-check/biden-documents/;FALSE
factcheck_afp;2023-01-25;"Polio was eradicated by banning DDT""";https://factcheck.afp.com/doc.afp.com.337R4EA;FALSE
snopes;2023-01-03;"A photograph accurately shows Andrew Tate handcuffed in a police van after his December 2022 arrest in Romania.""";https://www.snopes.com/fact-check/andrew-tate-handcuffed-prison-van/;TRUE
checkyourfact;2023-01-31;"A post shared on Facebook claims the U.K. has banned COVID-19 boosters for people under 50.""";https://checkyourfact.com/2023/01/31/fact-check-uk-covid-boosters-banned-under-50/;FALSE
checkyourfact;2023-01-18;"A video shared on Facebook claims Ukraine shot down all of Russia’s aircraft in the air in one day.""";https://checkyourfact.com/2023/01/18/fact-check-ukraine-russias-aircraft/;FALSE
politifact;2023-01-12;"Cellphone data used to arrest the Idaho quadruple-murder suspect proves that criticism of the 2000 Mules movie’s use of cell data is unfounded.""";https://www.politifact.com/factchecks/2023/jan/12/john-rich/no-cellphone-data-used-to-arrest-suspected-idaho-k/;FALSE
checkyourfact;2023-01-25;"A post shared on Twitter purports Colorado Republican Rep. Lauren Boebert allegedly said, a mass shooting is a small price to pay to protect our Second Amendment rights.""";https://checkyourfact.com/2023/01/25/fact-check-lauren-boebert-second-amendment/;FALSE
checkyourfact;2023-01-30;"A post shared on Facebook allegedly shows a screenshot of Greta Thunberg’s Twitter account responding to an altered image of herself smoking a cigarette.""";https://checkyourfact.com/2023/01/30/fact-check-greta-thunberg-respond-fake-image/;FALSE
factcheck_afp;2023-01-06;"BO PHOI TRITYDO can cure lung diseases like asthma, pneumonia and COPD""";https://factcheck.afp.com/doc.afp.com.336G72M;FALSE
fullfact;2023-01-03;"A Facebook user is looking for their 87-year-old neighbour called Mr Andrew who went missing with his dog.""";https://fullfact.org/online/missing-neighbour-Facebook-hoax-bexleyheath/;FALSE
factcheck_afp;2023-01-19;"Photo shows bodies of Covid victims in China""";https://factcheck.afp.com/doc.afp.com.337A8HZ;FALSE
africacheck;2023-01-24;"No, scam Facebook group ‘Hon Rachel Chebet Loans’ not run by Kenya’s first lady""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-scam-facebook-group-hon-rachel-chebet-loans-not-run;FALSE
africacheck;2023-01-20;"Beware of suspicious Facebook page impersonating popular Kenyan YouTuber""";https://africacheck.org/fact-checks/meta-programme-fact-checks/beware-suspicious-facebook-page-impersonating-popular-kenyan;FALSE
factcheck_afp;2023-01-05;"Photo shows Indonesian politician Anies Baswedan\'s grandfather, Abdurrahman Baswedan, with late President Sukarno and General Sudirman""";https://factcheck.afp.com/doc.afp.com.33623DK;FALSE
politifact;2023-01-09;"Tom Hanks shouting sexy baby is connected to Jeffery Epstein and pedophilia.""";https://www.politifact.com/factchecks/2023/jan/09/instagram-posts/instagram-post-takes-tom-hanks-clip-out-context-fa/;FALSE
truthorfiction;2023-01-28;"Protests are often organized and attended by outside agitators, individuals whose views on injustice differ from actual local citizens.""";https://www.truthorfiction.com/outside-agitators-have-always-been-a-racist-myth/;FALSE
factcheck_afp;2023-01-23;"Aishatu Dahiru Ahmed could become Nigeria’s first woman governor""";https://factcheck.afp.com/doc.afp.com.337H3UV;FALSE
politifact;2023-01-31;"The Georgia High School Association started issuing a sudden cardiac arrest awareness form in the wake of COVID-19 vaccines.""";https://www.politifact.com/factchecks/2023/jan/31/viral-image/sudden-cardiac-arrest-awareness-form-resulted-from/;FALSE
factcheck_afp;2023-01-11;"DStv launches channel to broadcast Saudi Football league""";https://factcheck.afp.com/doc.afp.com.336U9WD;FALSE
factcheck_afp;2023-01-18;"UA-Block is effective in treating gout""";https://factcheck.afp.com/doc.afp.com.334X4UY;FALSE
africacheck;2023-01-10;"Nigeria’s INEC ad hoc staff job alert in circulation is fake""";https://africacheck.org/fact-checks/meta-programme-fact-checks/nigerias-inec-ad-hoc-staff-job-alert-circulation-fake;FALSE
checkyourfact;2023-01-04;"A post shared on Facebook purportedly shows President Joe Biden leaving the room during a joint press conference with Ukrainian President Volodymyr Zelenskyy.""";https://checkyourfact.com/2023/01/04/fact-check-biden-room-conference-zelenskyy/;FALSE
snopes;2023-01-17;"The Norwegian government in 2023 was funding a multi-year research project to find out if white paint is racist.""";https://www.snopes.com/fact-check/racist-white-paint/;MIXTURE
snopes;2023-01-23;"Republicans overturned a ban on smoking in the U.S. House of Representatives in January 2023.""";https://www.snopes.com/fact-check/house-smoking-ban/;TRUE
snopes;2023-01-29;"Mandatory Penis Inspection flyers posted in high schools across the U.S. and elsewhere are authentic notifications from school administrators.""";https://www.snopes.com/fact-check/mandatory-penis-inspection-high-school/;FALSE
checkyourfact;2023-01-18;"A photo shared on Facebook purportedly shows graffiti of Ukrainian President Volodymyr Zelenskyy depicted as a locust.""";https://checkyourfact.com/2023/01/18/fact-check-graffiti-volodymyr-zelenskyy-locust-nyc/;FALSE
africacheck;2023-01-26;"Beware of another Facebook page impersonating popular Kenyan preacher""";https://africacheck.org/fact-checks/meta-programme-fact-checks/beware-another-facebook-page-impersonating-popular-kenyan;FALSE
factcheck_afp;2023-01-04;"Video of 2023 \'fireworks to welcome winter season in Japan\'""";https://factcheck.afp.com/doc.afp.com.336E9GE;FALSE
politifact;2023-01-13;"Take-home pay for workers is going up.""";https://www.politifact.com/factchecks/2023/jan/13/joe-biden/wage-gains-are-now-exceeding-inflation-but-theyre/;MIXTURE
politifact;2023-01-13;"California has twice the population of New York, but spends $260 billion, while New York spends $220 billion.""";https://www.politifact.com/factchecks/2023/jan/13/william-barclay/comparison-between-spending-new-york-and-californi/;MIXTURE
checkyourfact;2023-01-05;"A video shared on Facebook claims Ukraine encircled 170,000 Russian troops in its territory while also preventing any rescue efforts.""";https://checkyourfact.com/2023/01/05/fact-check-ukraine-encircled-troops/;FALSE
fullfact;2023-01-10;"A Facebook user is trying to reunite a recently injured cat with its owner.""";https://fullfact.org/online/injured-cat/;FALSE
politifact;2023-01-24;"New government-funded \'food pyramid\' says Lucky Charms are healthier than steak.""";https://www.politifact.com/factchecks/2023/jan/24/instagram-posts/magically-nutritious-joe-rogans-misleading-post-ab/;MIXTURE
snopes;2023-01-04;"On Jan. 4, 2023, former U.S. President Donald Trump urged House Republicans to vote for Kevin McCarthy in his bid for House speaker.""";https://www.snopes.com/fact-check/trump-kevin-mccarthy-house-speaker/;TRUE
politifact;2023-01-13;"Every pro-life Governor up for election in November won – by a large margin.""";https://www.politifact.com/factchecks/2023/jan/13/scott-walker/yes-governors-who-oppose-abortion-did-well-in-midt/;MIXTURE
snopes;2023-01-20;"Before choosing Jack Nicholson for the role, director Stanley Kubrick considered hiring Robin Williams to play the main character, Jack Torrance, in the horror film The Shining.""";https://www.snopes.com/fact-check/robin-williams-role-the-shining/;FALSE
africacheck;2023-01-12;"Controversial anti-women social media influencer Andrew Tate has not been released from detention in Romania""";https://africacheck.org/fact-checks/meta-programme-fact-checks/controversial-anti-women-social-media-influencer-andrew-tate;FALSE
factcheck_afp;2023-01-09;"World Economic Forum chose Kevin McCarthy as House speaker""";https://factcheck.afp.com/doc.afp.com.336M2WR;FALSE
snopes;2023-01-13;"The World Health Organization is holding a secret meeting that will greatly expand its legal authority.""";https://www.snopes.com/fact-check/who-ihr-amendments/;FALSE
politifact;2023-01-05;"Kevin Adams wants to ban abortion.""";https://www.politifact.com/factchecks/2023/jan/05/aaron-rouse/virginia-state-senate-candidate-makes-misleading-c/;MIXTURE
checkyourfact;2023-01-10;"A video shared on Facebook purports that Meghan Markle threw the royal family’s Christmas presents out of the house in anger.""";https://checkyourfact.com/2023/01/10/fact-check-meghan-markle-throwing-christmas-presents/;FALSE
snopes;2023-01-10;"In late 2022, archaeologists discovered the tomb of the ancient Egyptian god of the underworld, Osiris, near the Nile River in Abydos, Egypt.""";https://www.snopes.com/fact-check/scientists-find-tomb-egyptian-god-osiris/;FALSE
politifact;2023-01-06;"Pope Benedict XVI and the Vatican requested that President Biden not attend Benedict’s funeral.""";https://www.politifact.com/factchecks/2023/jan/06/newsmax/pope-benedict-wanted-a-simple-funeral-theres-no-ev/;FALSE
factcheck_afp;2023-01-20;"Video shows footage of Nepal airplane crash in 2023""";https://factcheck.afp.com/doc.afp.com.337B6QP;FALSE
snopes;2023-01-14;"Actor Morgan Freeman once said, Don\'t take criticism from people you would never go to for advice.""";https://www.snopes.com/fact-check/morgan-freeman-dont-take-criticism/;FALSE
factcheck_afp;2023-01-31;"Starbucks declared haram in Malaysia""";https://factcheck.afp.com/doc.afp.com.337V384;FALSE
factcheck_afp;2023-01-23;"Video shows Narendra Modi criticising Pakistan government in 2023""";https://factcheck.afp.com/doc.afp.com.337D2B6;FALSE
checkyourfact;2023-01-10;"A video shared on Twitter p urportedly shows a gunfight that broke out in Mexico after the arrest of Ovidio Guzman Lopez.""";https://checkyourfact.com/2023/01/10/fact-check-ovidio-guzman-lopez-gunfight-video/;FALSE
factcheck_afp;2023-01-18;"Images show Yeti Airlines flight 691 crashing in Nepal""";https://factcheck.afp.com/doc.afp.com.33769ML;FALSE
factcheck_afp;2023-01-11;"Video of adhan being heard outside a mosque in London""";https://factcheck.afp.com/doc.afp.com.336P26L;FALSE
factcheck_afp;2023-01-11;"A photo shows a woman at the January 6, 2021 US Capitol attack""";https://factcheck.afp.com/doc.afp.com.336U3DC;FALSE
snopes;2023-01-14;"An old picture shows The View host Joy Behar wearing dark makeup on her face.""";https://www.snopes.com/fact-check/joy-behar-blackface-photo/;TRUE
politifact;2023-01-19;"Document shows that Hunter Biden paid Joe Biden $50,000 a month in rent.""";https://www.politifact.com/factchecks/2023/jan/19/facebook-posts/hunter-biden-paid-50000-rent-office-space-dc-not-h/;FALSE
factcheck_afp;2023-01-19;"Photo shows the site of the Yeti Airline crash in Nepal in 2023""";https://factcheck.afp.com/doc.afp.com.33787HY;FALSE
politifact;2023-01-27;"The amount the U.S. has spent in Ukraine is double the U.S. expenditure for its own war in Afghanistan.""";https://www.politifact.com/factchecks/2023/jan/27/instagram-posts/us-spending-afghanistan-dwarfs-aid-ukraine/;FALSE
factcheck_afp;2023-01-15;"Photo shows US diplomat posing with Pakistan\'s national animal markhor""";https://factcheck.afp.com/doc.afp.com.336H9RU;FALSE
politifact;2023-01-25;"Chickens aren’t laying eggs because RNA is being added to commercial chicken feed.""";https://www.politifact.com/factchecks/2023/jan/25/tiktok-posts/rna-making-chickens-lay-fewer-eggs-no-improper-nut/;FALSE
checkyourfact;2023-01-20;"A video shared on Instagram purports to show Tesla and Twitter CEO Elon Musk commenting on a specific trait he found in all failed world leaders.""";https://checkyourfact.com/2023/01/20/fact-check-elon-musk-leader-common-failures/;FALSE
africacheck;2023-01-23;"Peter Obi’s promise to the north: more spareparts shops.""";https://africacheck.org/fact-checks/reports/influencer-makes-misleading-claims-about-presidential-candidates-promises-vote;FALSE
politifact;2023-01-10;"COVID-19 vaccines provide zero benefit relative to risk for the young and healthy.""";https://www.politifact.com/factchecks/2023/jan/10/robert-malone/young-and-healthy-people-get-benefits-and-low-risk/;FALSE
snopes;2023-01-24;"Singer Tina Turner died in January 2023, after a battle with laryngeal cancer.""";https://www.snopes.com/fact-check/tina-turner-youtube-death-hoax/;FALSE
politifact;2023-01-26;"Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.""";https://www.politifact.com/factchecks/2023/jan/26/facebook-posts/parody-account-criticizing-aretha-franklins-natura/;FALSE
factcheck_afp;2023-01-31;"Public required to identify woman in hospital""";https://factcheck.afp.com/doc.afp.com.33872ZF;FALSE
politifact;2023-01-24;"Historic photos are evidence these celebrities were cloned.""";https://www.politifact.com/factchecks/2023/jan/24/viral-image/the-resemblance-is-purely-coincidental-these-pictu/;FALSE
factcheck_afp;2023-01-17;"Video shows Pakistani protest against inflation in 2023""";https://factcheck.afp.com/doc.afp.com.336W869;FALSE
checkyourfact;2023-01-06;"A post shared on Twitter allegedly shows a Fox News graphic stating the Federal Bureau of Investigation (FBI) said it is normal for professional NFL athletes to collapse and be put on a breathing tube.""";https://checkyourfact.com/2023/01/06/fact-check-fox-news-fbi-nfl-player-collapse/;FALSE
politifact;2023-01-25;"The U.S. chicken and egg shortage is linked to Bill Gates.""";https://www.politifact.com/factchecks/2023/jan/25/instagram-posts/the-bill-gates-egg-shortage-conspiracy-isnt-all-it/;FALSE
checkyourfact;2023-01-26;"An image shared on Facebook purportedly shows an Orthodox Church ablaze, caused by Ukrainian Nationalists in protest against Russian Loyalists.""";https://checkyourfact.com/2023/01/26/fact-check-ukraine-orthodox-church-fire/;FALSE
africacheck;2023-01-11;"No, Nigerian presidential candidate Bola Tinubu didn’t say he would tell electoral commission to stop giving out voters’ cards""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-nigerian-presidential-candidate-bola-tinubu-didnt-say-0;FALSE
factcheck_afp;2023-01-18;"American Airlines pilots dying mid-flight from Covid-19 vaccine injuries""";https://factcheck.afp.com/doc.afp.com.336Z8N4;FALSE
